document_id,clean_text,sentiment
0,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
1,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
2,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
3,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
4,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,neutral
5,wow great price fast shipping perfect condition and excellent computerread more,negative
6,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
7,wow great price fast shipping perfect condition and excellent computerread more,negative
8,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,negative
9,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
10,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
11,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
12,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
13,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
14,read more,negative
15,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
16,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
17,bought it for stock doe the jobread more,neutral
18,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
19,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
20,bought it for stock doe the jobread more,neutral
21,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
22,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
23,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,negative
24,wow great price fast shipping perfect condition and excellent computerread more,positive
25,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,neutral
26,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
27,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
28,read more,negative
29,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
30,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
31,read more,positive
32,bought it for stock doe the jobread more,negative
33,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
34,read more,negative
35,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
36,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
37,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
38,read more,neutral
39,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
40,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
41,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
42,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
43,bought it for stock doe the jobread more,positive
44,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
45,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
46,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
47,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
48,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
49,bought it for stock doe the jobread more,neutral
50,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
51,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
52,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
53,wow great price fast shipping perfect condition and excellent computerread more,neutral
54,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
55,wow great price fast shipping perfect condition and excellent computerread more,negative
56,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
57,read more,neutral
58,wow great price fast shipping perfect condition and excellent computerread more,negative
59,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
60,bought it for stock doe the jobread more,positive
61,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
62,wow great price fast shipping perfect condition and excellent computerread more,neutral
63,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
64,bought it for stock doe the jobread more,positive
65,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
66,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
67,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
68,wow great price fast shipping perfect condition and excellent computerread more,positive
69,bought it for stock doe the jobread more,positive
70,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
71,read more,neutral
72,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
73,wow great price fast shipping perfect condition and excellent computerread more,positive
74,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,negative
75,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
76,wow great price fast shipping perfect condition and excellent computerread more,negative
77,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
78,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
79,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
80,wow great price fast shipping perfect condition and excellent computerread more,negative
81,wow great price fast shipping perfect condition and excellent computerread more,neutral
82,read more,positive
83,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
84,bought it for stock doe the jobread more,neutral
85,read more,neutral
86,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
87,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
88,bought it for stock doe the jobread more,positive
89,wow great price fast shipping perfect condition and excellent computerread more,neutral
90,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
91,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
92,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
93,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
94,bought it for stock doe the jobread more,negative
95,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
96,wow great price fast shipping perfect condition and excellent computerread more,positive
97,wow great price fast shipping perfect condition and excellent computerread more,positive
98,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
99,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
100,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
101,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
102,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
103,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
104,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
105,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
106,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
107,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
108,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
109,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
110,bought it for stock doe the jobread more,neutral
111,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
112,wow great price fast shipping perfect condition and excellent computerread more,neutral
113,read more,negative
114,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
115,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
116,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
117,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
118,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
119,wow great price fast shipping perfect condition and excellent computerread more,positive
120,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
121,wow great price fast shipping perfect condition and excellent computerread more,neutral
122,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
123,read more,neutral
124,wow great price fast shipping perfect condition and excellent computerread more,negative
125,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
126,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
127,bought it for stock doe the jobread more,neutral
128,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
129,wow great price fast shipping perfect condition and excellent computerread more,neutral
130,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
131,wow great price fast shipping perfect condition and excellent computerread more,positive
132,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
133,wow great price fast shipping perfect condition and excellent computerread more,neutral
134,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
135,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,negative
136,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
137,bought it for stock doe the jobread more,neutral
138,wow great price fast shipping perfect condition and excellent computerread more,negative
139,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,positive
140,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
141,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
142,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
